new file 
Gene Symbol	Disease	Ensembl ID	Gene ID	OMIM	GeneCards	HugeNavigator	GenAtlas	YFG	PharmGKB	HGMD	EXPASY	WikiGenes	NCBI	GAD	Gene Name	Gene Symbol Synonyms	Gene name Synonyms	Chromosome	Location	PMIDs	# of Refs	# DB	HuGe Prospector Score	pValues	No Association Number	# of GAD Yes	# of GAD No	Final Score	
SLC6A4	autism	ENSG00000108576	6532	0	1	1	0	0	1	1	0	1	0	1	"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4"	5-HTT|5-HTTLPR|5HTT|HTT|OCD1|SERT|hSERT	5-hydroxytryptamine transporter|5HT transporter|Na+/Cl- dependent serotonin transporter|sodium-dependent serotonin transporter|solute carrier family 6 member 4	17	17q11.1-q12	20020537,19588468,19369912,19281802,19184136,19058789,18804097,19360675,18361419,18286633,17406648,18197083,18405062,18193379,17203304,17340199,17280648,17151167,16721604,16616719,16698432,16481140,16674932,16395127,12668354,12232775,	26	6	1.335	n n n 	8	2	4	136.7	
NRXN1	autism	ENSG00000179915	9378	1	1	1	0	1	1	1	1	0	1	0	neurexin 1	DKFZp313P2036|FLJ35941|Hs.22998|KIAA0578	neurexin I	2	2p16.3	19880096,19736351,19557195,18945720,18490107,	5	8	0.262		0	0	0	27.200000000000003	
FMR1	autism	ENSG00000102081	2332	0	1	1	0	0	0	0	0	0	0	1	fragile X mental retardation 1	FMRP|FRAXA|MGC87458|POF|POF1	OTTHUMP00000024197|premature ovarian failure 1	X	Xq27.3	19810826,19211207,18565783,18165971,14755444,15000256,	6	3	0.204		1	1	0	22.599999999999998	
PTEN	autism	ENSG00000171862	5728	0	1	1	0	1	0	1	1	0	1	1	phosphatase and tensin homolog	10q23del|BZS|MGC11227|MHAM|MMAC1|PTEN1|TEP1	MMAC1 phosphatase and tensin homolog deleted on chromosome 10|OTTHUMP00000020032|mutated in multiple advanced cancers 1	10	10q23.3	19265751,18759867,17427195,15805158,	4	7	0.188		2	0	0	19.6	
FRAXA	autism		2477	0	0	1	0	0	0	0	0	1	0	1	"fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation)"	FMR1	-	X	Xq27.3	16201716,12806492,	2	3	0.175		1	0	0	17.9	
FRAXE	autism		2481	0	0	1	0	0	0	0	0	0	0	1	"fragile site, folic acid type, rare, fra(X)(q28) E"	FMR2	-	X	Xq28	16201716,12806492,	2	2	0.175		1	0	0	17.9	
FRAXF	autism		2482	0	0	1	0	0	0	0	0	0	0	1	"fragile site, folic acid type, rare, fra(X)(q28) F"	-	-	X	Xq28	12806492,	1	2	0.171		1	0	0	17.3	
CNTNAP2	autism	ENSG00000174469	26047	1	1	1	1	1	1	1	1	0	1	0	contactin associated protein-like 2	AUTS15|CASPR2|CDFE|DKFZp781D1846|NRXN4	cell recognition molecule Caspr2|contactin-associated protein 2|homolog of Drosophila neurexin IV	7	7q35-q36	19546859,18987363,18179894,18179893,	4	9	0.151		0	0	0	15.9	
UBE3A	autism	ENSG00000114062	7337	0	1	1	0	0	1	1	0	1	0	0	ubiquitin protein ligase E3A	ANCR|AS|E6-AP|EPVE6AP|FLJ26981|HPVE6A	CTCL tumor antigen se37-2|human papilloma virus E6-associated protein|oncogenic protein-associated protein E6-AP	15	15q11-q13	19557195,19058789,18361419,18186074,	4	5	0.137		0	0	0	14.500000000000002	
CDH10	autism	ENSG00000040731	1008	0	1	1	0	0	0	0	0	0	1	0	"cadherin 10, type 2 (T2-cadherin)"	-	"T2-cadherin|cadherin 10, type 2|cadherin-10"	5	5p14-p13	19404256,	1	3	0.118		0	0	0	11.999999999999998	
CDH9	autism	ENSG00000113100	1007	0	1	1	0	0	0	0	0	0	1	0	"cadherin 9, type 2 (T1-cadherin)"	MGC125386	"T1-cadherin|cadherin 9, type 2|cadherin-9"	5	5p14	19404256,	1	3	0.118		0	0	0	11.999999999999998	
BZRAP1	autism	ENSG00000005379	9256	0	0	1	0	0	0	0	0	0	0	0	benzodiazapine receptor (peripheral) associated protein 1	DKFZp686F02123|KIAA0612|PRAX-1|PRAX1|RIM-BP1|RIMBP1	peripheral benzodiazepine receptor-associated protein 1	17	17q22-q23	19557195,	1	1	0.118		0	0	0	11.999999999999998	
MDGA2	autism	ENSG00000139915	161357	0	0	1	0	0	0	0	0	0	0	0	MAM domain containing glycosylphosphatidylinositol anchor 2	MAMDC1|c14_5286	MAM domain containing 1|OTTHUMP00000179128	14	14q21.3	19557195,	1	1	0.118		0	0	0	11.999999999999998	
SEMA5A	autism	ENSG00000112902	9037	0	1	1	0	0	0	0	0	1	1	0	"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"	FLJ12815|SEMAF|semF	"OTTHUMP00000115584|sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, 5A|semaphorin 5A|semaphorin F"	5	5p15.2	19812673,	1	4	0.118		0	0	0	11.999999999999998	
TAS2R1	autism	ENSG00000169777	50834	0	0	1	0	0	0	0	0	0	1	0	"taste receptor, type 2, member 1"	MGC126778|MGC126780|T2R1|TRB7	"OTTHUMP00000115583|taste receptor T2R1|taste receptor, family B, member 7"	5	5p15	19812673,	1	2	0.118		0	0	0	11.999999999999998	
SLC25A12	autism	ENSG00000115840	8604	0	1	1	1	0	1	0	0	1	0	1	"solute carrier family 25 (mitochondrial carrier, Aralar), member 12"	AGC1|ARALAR	"araceli hiperlarga|calcium binding mitochondrial carrier superfamily member Aralar1|mitochondrial aspartate glutamate carrier 1|solute carrier family 25, member 12"	2	2q24	19913066,19598235,19401682,19058789,19360665,18348195,17693006,17894412,17151801,16648338,16205742,16263864,	12	6	0.079	p<0.004 	0	2	3	9.3	
GABRB3	autism	ENSG00000166206	2562	0	1	1	1	0	1	1	1	1	0	1	"gamma-aminobutyric acid (GABA) A receptor, beta 3"	ECA5|MGC9051	GABA(A) receptor beta-3 subunit|GABA-A receptor beta-3 subunit|GABA-alpha receptor beta-2 subunit|GABAA receptor beta-3 subunit	15	15q11.2-q12	19736351,19598235,19430570,19058789,17957331,16674551,17230033,16080114,	8	8	0.053		2	2	0	8.9	
MAOA	autism	ENSG00000189221	4128	0	1	1	0	0	0	0	0	0	0	1	monoamine oxidase A	-	OTTHUMP00000023165	X	Xp11.3	19058789,19100789,18566880,18361446,18405062,17340199,12919132,12668354,	8	3	0.053		0	1	0	7.9	
OXTR	autism	ENSG00000180914	5021	0	1	1	0	0	0	0	0	1	0	1	oxytocin receptor	OT-R	-	3	3p25	20094064,19777562,19598235,19376182,18207134,17893705,17383819,15992526,	8	4	0.053		1	1	0	7.9	
MECP2	autism	ENSG00000169057	4204	1	1	1	1	1	1	1	1	1	1	1	methyl CpG binding protein 2 (Rett syndrome)	AUTSX3|DKFZp686A24160|MRX16|MRX79|MRXS13|MRXSL|PPMX|RTS|RTT	OTTHUMP00000026021|methyl CpG binding protein 2	X	Xq28	19736351,19365833,19058789,19125863,18174559,17427193,17413451,17171659,15578581,15211631,12555243,	11	11	0.062		3	0	2	7.4	
NLGN4X	autism	ENSG00000146938	57502	1	1	1	1	1	1	1	1	1	1	1	"neuroligin 4, X-linked"	ASPGX2|AUTSX2|HLNX|HNLX|KIAA1260|MGC22376|NLGN|NLGN4	OTTHUMP00000022863|OTTHUMP00000022864|OTTHUMP00000022865|X-linked neuroligin 4|neuroligin X	X	Xp22.32-p22.31	19736351,19645625,19598235,19058789,18628683,18189281,15389766,15274046,	8	11	0.048		0	0	0	7.4	
RELN	autism	ENSG00000189056	5649	0	1	1	0	0	0	0	0	1	0	1	reelin	PRO1598|RL	-	7	7q22	19401682,19058789,18597938,17955477,17621165,16556465,11317216,	7	4	0.046		0	2	1	7.0	
HTR2A	autism	ENSG00000102468	3356	0	1	1	0	1	1	0	0	0	0	1	5-hydroxytryptamine (serotonin) receptor 2A	5-HT2A|HTR2	5-HT2 receptor|OTTHUMP00000018378	13	13q14-q21	19997080,19647026,19184136,19058789,17406648,18405062,17203304,17280648,	8	5	0.053		4	0	0	6.9	
MET	autism	ENSG00000105976	4233	0	1	1	1	1	0	1	1	0	1	1	met proto-oncogene (hepatocyte growth factor receptor)	AUTS9|HGFR|RCCP2|c-Met	HGF receptor|OTTHUMP00000069168|SF receptor|met proto-oncogene|met proto-oncogene tyrosine kinase|oncogene MET|scatter factor receptor	7	7q31	20080979,19681062,19548256,19255034,19002214,17053076,	6	8	0.039		0	1	0	6.1000000000000005	
TPH2	autism	ENSG00000139287	121278	0	1	1	0	0	0	0	0	1	0	1	tryptophan hydroxylase 2	FLJ37295|MGC138871|MGC138872|NTPH	neuronal tryptophan hydroxylase|tryptophan 5-monooxygenase 2	12	12q21.1	19674121,19184136,19058789,17346350,16958027,16581035,15768392,	7	4	0.046		2	1	1	6.0	
EN2	autism	ENSG00000164778	2020	0	1	1	1	1	1	1	1	1	1	1	engrailed homeobox 2	-	engrailed homolog 2|engrailed-2	7	7q36	20050924,19615670,18424904,17948901,17948868,16941662,16252243,	7	10	0.031	n 0.0009 	1	1	1	5.5	
ITGB3	autism	ENSG00000056345	3690	0	1	1	0	0	0	0	0	1	0	1	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	CD61|GP3A|GPIIIa	"integrin beta chain, beta 3|platelet glycoprotein IIIa"	17	17q21.32	19588468,17406648,17203304,16721604,16724005,	5	4	0.033		2	1	0	5.300000000000001	
FOXP2	autism	ENSG00000128573	93986	0	1	1	0	0	0	0	0	1	0	1	forkhead box P2	CAGH44|DKFZp686H1726|SPCH1|TNRC10	CAG repeat protein 44|OTTHUMP00000067772|forkhead/winged-helix transcription factor|speech and language disorder 1|trinucleotide repeat containing 10	7	7q31	19058789,19018235,18987363,15998549,15737702,12655497,	6	4	0.039		1	1	1	5.1	
GABRG3	autism		2567	0	1	1	0	0	0	0	0	0	0	1	"gamma-aminobutyric acid (GABA) A receptor, gamma 3"	-	-	15	15q12	19736351,19598235,19058789,17957331,16674551,16080114,	6	3	0.039		2	0	0	5.1	
BDNF	autism	ENSG00000176697	627	0	1	1	0	0	0	0	0	0	0	1	brain-derived neurotrophic factor	MGC34632	neurotrophin	11	11p13	19997080,19598235,19058789,19077115,17349978,	5	3	0.039		1	0	0	4.9	
HOXA1	autism	ENSG00000105991	3198	0	1	1	1	0	0	0	1	1	0	1	homeobox A1	BSAS|HOX1|HOX1F|MGC45232	HOX A1 homeodomain protein|Hox 1.6-like protein|homeo box A1|homeobox 1F|homeobox protein HOX-A1|lab-like protein	7	7p15.3	19598235,19018235,19018953,17171652,14960295,12908836,12210285,	7	6	0.043	n 	0	2	3	4.699999999999999	
AVPR1A	autism	ENSG00000166148	552	0	1	1	0	0	1	0	1	1	0	1	arginine vasopressin receptor 1A	AVPR1	SCCL vasopressin subtype 1a receptor|V1-vascular vasopressin receptor AVPR1A|V1a vasopressin receptor|antidiuretic hormone receptor 1A|vascular/hepatic-type arginine vasopressin receptor	12	12q14-q15	19598235,19195791,18490926,16520824,	4	6	0.026		0	1	0	4.4	
NRCAM	autism	ENSG00000091129	4897	0	1	1	0	0	0	0	0	1	0	1	neuronal cell adhesion molecule	KIAA0343|MGC138845|MGC138846	NgCAM-related cell adhesion molecule|NrCAM-|bravo	7	7q31.1-q31.2	19598235,19058789,18664314,17106428,	4	4	0.026		0	1	0	4.4	
GABRA5	autism	ENSG00000186297	2558	0	1	1	0	0	0	0	0	1	0	1	"gamma-aminobutyric acid (GABA) A receptor, alpha 5"	MGC138184	-	15	15q11.2-q12	19736351,19058789,17957331,16674551,16080114,	5	4	0.033		2	0	0	4.300000000000001	
COMT	autism	ENSG00000093010	1312	0	1	1	0	0	0	0	0	0	0	0	catechol-O-methyltransferase	-	-	22	22q11.21-q11.23|22q11.21	19058789,19360691,19077115,16917939,12668354,	5	2	0.033		0	0	0	4.300000000000001	
